Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
THOC6,1,0,0,0
GDE1,1,0,0,0
ZBTB11,1,0,0,0
ZNF623,1,0,0,0
CD74,1,0,0,0
SSB,1,0,0,0
DDX49,1,0,0,0
OSBP,1,0,0,0
CDC5L,1,0,0,0
HEATR1,1,0,0,0
DCAF1,1,0,0,0
HLA-DMB,1,0,0,0
ZNF322,1,0,0,0
NFKB1,1,0,0,0
ZNF529,1,0,0,0
LAMC1,1,0,0,0
ZNF594,1,0,0,0
GEMIN4,1,0,0,0
IMPA2,1,0,0,0
ZFP62,1,0,0,0
C1orf43,1,0,0,0
RIT1,1,0,0,0
DHX9,1,0,0,0
PHC1,1,0,0,0
CHMP2A,1,0,0,0
SLC7A6OS,1,0,0,0
TBC1D20,1,0,0,0
SEC23IP,1,0,0,0
PJA2,1,0,0,1
CD48,1,0,0,0
MYNN,1,0,0,0
ACOX1,1,0,0,0
JMJD1C,1,0,0,1
COPS3,1,0,0,0
ELP1,1,0,0,0
NEU1,1,0,0,0
NDUFS5,1,0,0,0
ZNF841,1,0,0,0
ZNF860,1,0,0,0
KLHL12,1,0,0,0
PRKD3,1,0,0,0
ATG13,1,0,0,0
NUP153,1,0,0,0
BIN3,1,0,0,0
SCAF4,1,0,0,0
RNF114,1,0,0,0
DCTN5,1,0,0,0
RUBCNL,1,0,0,1
PPWD1,1,0,0,0
PPIL4,1,0,0,0
NOLC1,1,0,0,0
LINC00494,1,0,0,0
TUBA1B,1,0,0,0
PMPCB,1,0,0,0
LYN,1,0,0,0
LARP7,1,0,0,0
ZBTB34,1,0,0,0
KAT5,1,0,0,0
YTHDF1,1,0,0,0
HDAC3,1,0,0,0
STRAP,1,0,0,0
YTHDF3,1,0,0,0
LSP1,1,0,0,0
BIN2,1,0,0,0
ADPRH,1,0,0,0
IMMT,1,0,0,0
MLX,1,0,0,0
BUD23,1,0,0,0
XKRX,1,0,0,0
ZNF418,1,0,0,0
SLC31A1,1,0,0,0
WDR46,1,0,0,0
RRP12,1,0,0,0
SRSF6,1,0,0,0
MCL1,1,0,0,1
GGA2,1,0,0,1
POLR1B,1,0,0,0
CIITA,1,0,0,0
C11orf54,1,0,0,0
MFN2,1,0,0,0
EMC3,1,0,0,0
RBM25,1,0,0,0
TMCO1,1,0,0,0
CEP44,1,0,0,0
CDK5RAP1,1,0,0,0
TSR1,1,0,0,0
ZNF510,1,0,0,0
DEDD2,1,0,1,0
YKT6,1,0,0,0
OXCT1,1,0,0,0
PUM1,1,0,0,0
HSPA1L,1,0,0,0
HIPK1,1,0,0,0
RFWD3,1,0,0,0
PLPP5,1,0,0,0
PAIP2B,1,0,0,1
DNAJC8,1,0,0,0
ATXN7L3B,1,0,0,0
MFAP1,1,0,0,0
SRA1,1,0,0,0
URB2,1,0,0,0
SIPA1L3,1,0,0,0
NOMO1,1,0,0,0
ZNF766,1,0,0,0
HMGCR,1,0,0,1
NOG,0,1,0,0
WHAMMP2,0,1,0,0
TMIGD2,0,1,0,0
NRCAM,0,1,0,0
ACTN1,0,1,0,0
AK5,0,1,0,0
CACHD1,0,1,0,0
NKG7,0,1,0,0
CRTAM,0,1,0,0
NUCB2,0,1,0,0
SH3RF3,0,1,0,0
EDAR,0,1,0,0
FAM117B,0,1,0,0
KLRC4-KLRK1,0,1,0,0
FBLN2,0,1,0,0
PTPRK,0,1,0,0
ROBO1,0,1,0,0
CD244,0,1,0,0
CHI3L2,0,1,0,0
S1PR5,0,1,0,0
NUAK2,0,1,0,0
LEF1-AS1,0,1,0,0
CCR7,0,1,0,0
KLRK1,0,1,0,0
ADRB2,0,1,0,0
SOX4,0,1,0,0
LINC02446,0,1,0,0
PRF1,0,1,0,0
SMARCA1,0,1,0,0
KRT73-AS1,0,1,0,0
RAB43,0,1,0,0
C1orf21,0,1,0,0
PTK2,0,1,0,0
MLC1,0,1,0,0
SLAMF7,0,1,0,0
ERBB2,0,1,0,0
FLNB,0,1,0,0
ASCL2,0,1,0,0
ANKRD36BP2,0,1,0,0
SH2D3C,0,0,1,0
CAMK1,0,0,1,0
NOL4L,0,0,1,0
9-Sep,0,0,1,0
KBTBD6,0,0,1,0
MID1IP1,0,0,1,1
WDR89,0,0,1,0
IL21R,0,0,1,0
MAP4K2,0,0,1,0
SLC9A3R1,0,0,1,0
AIP,0,0,1,0
ADA,0,0,1,0
ZDHHC1,0,0,1,0
NOP53,0,0,1,0
OAZ2,0,0,1,0
PPP1R14B,0,0,1,0
PITPNM1,0,0,1,0
ST3GAL5,0,0,1,0
SESN3,0,0,1,0
MBD3,0,0,1,0
TRAPPC6A,0,0,1,0
NSMF,0,0,1,0
SPN,0,0,1,0
ARHGEF10L,0,0,1,0
TPPP3,0,0,1,1
RGS14,0,0,1,0
ITPKB,0,0,1,0
PPTC7,0,0,1,0
MXD3,0,0,1,0
AC008878.3,0,0,1,0
FAM110A,0,0,1,0
STK32C,0,0,1,0
