Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
RPL39,1,1,1,1
UBC,1,0,0,0
RPL7,1,1,0,1
ATP5ME,1,0,0,0
RPS20,1,0,0,0
RPL31,1,0,0,0
RPL36A,1,0,0,1
RPL21,1,0,0,0
RPS3A,1,1,0,1
FARS2,1,0,0,0
RPL23A,1,0,0,1
RPS15A,1,1,0,1
NFYA,1,0,0,0
ATXN10,1,0,0,0
CDON,1,0,0,0
EEF1B2,1,0,0,0
FAM120B,1,0,0,0
NBEA,1,1,0,0
NPEPPS,1,0,0,0
R3HCC1L,1,0,0,0
ZNF337,1,0,0,0
RPS23,1,0,0,1
RPS10,1,0,1,0
EXT1,1,0,0,0
ODC1,1,0,0,0
TNR,1,0,0,0
S100Z,1,0,0,0
OAZ2,1,0,0,1
FTH1,1,0,0,0
UXT,1,0,0,0
RPL32,1,1,0,1
C2CD3,1,0,0,0
RPS29,1,1,1,1
RPL3,1,0,0,0
HSD17B11,1,0,0,0
RPL35A,1,1,0,1
FTL,1,0,0,0
RPS27,1,0,0,1
CERNA1,1,0,0,0
RACK1,1,0,1,1
FAAH2,1,0,0,0
IGBP1,1,0,0,0
PTP4A1,1,0,0,0
SQOR,1,0,0,0
MPP1,1,0,0,0
DGKG,1,0,0,0
ZNF700,1,0,0,0
SNED1,1,0,0,0
AL355076.3,1,0,0,0
KIZ,1,0,0,0
TPST1,1,0,0,0
NPIPB5,1,0,0,0
RNF111,1,0,0,0
RNF181,1,0,0,0
PVT1,1,0,0,0
FAM13A-AS1,1,0,0,0
RPL41,1,0,0,1
NDUFS5,1,0,0,0
RPL9,1,0,1,0
SBF2,1,0,0,0
SCARNA10,1,1,1,1
TBC1D9,1,0,0,0
SNRPD2,1,1,1,0
RPLP0,1,0,1,0
NACA,1,0,0,0
ADARB1,1,0,0,0
ZNF507,1,0,0,0
ADA2,1,0,0,0
SLC36A1,1,0,0,0
BAZ2B,1,0,0,0
BTBD9,1,0,0,0
ITPR1,1,0,0,0
MEGF6,1,1,0,0
COL4A4,1,0,0,0
MATN1,1,0,0,0
