Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
SHOC2,1,0,0,0
MBNL3,1,0,0,0
TIA1,1,0,0,0
FAM172A,1,0,0,0
AC092329.1,1,0,0,0
CBFB,1,0,0,0
AKAP11,1,0,0,0
PTPRC,1,0,0,0
VPS51,1,0,0,0
RECQL,1,0,0,0
BRWD1,1,0,0,0
TBC1D5,1,0,0,0
STAG2,1,0,0,0
TMEM30A,1,0,0,0
WDR46,1,0,0,0
VBP1,1,0,0,0
DMXL1,1,0,0,0
SLC30A6,1,0,0,0
KLRD1,0,1,0,0
ZEB2,0,1,0,0
CX3CR1,0,1,0,0
PRSS23,0,1,0,0
ADGRG1,0,1,0,0
C1orf21,0,1,0,0
FCRL6,0,1,0,0
FGFBP2,0,1,0,0
ITGAM,0,1,0,0
GZMH,0,1,0,0
B3GAT1,0,1,0,0
GZMB,0,1,0,0
SLCO4C1,0,1,0,0
TGFBR3,0,1,0,0
FCGR3A,0,1,0,0
SETBP1,0,1,0,0
F2R,0,1,0,0
FGR,0,1,0,0
PDGFD,0,1,0,0
CMKLR1,0,1,0,0
ZNF683,0,1,0,0
S1PR5,0,1,0,0
MYO6,0,1,0,0
NKG7,0,1,0,0
TBX21,0,1,0,0
CD8A,0,1,0,0
OSBPL5,0,1,0,0
PRF1,0,1,0,0
TRGC2,0,1,0,0
LILRB1,0,1,0,0
PLEK,0,1,0,0
MYBL1,0,1,0,0
ADRB2,0,1,0,0
DOCK5,0,1,0,0
SLAMF7,0,1,0,0
PRR5L,0,1,0,0
LINC02384,0,1,0,0
GNLY,0,1,0,0
PDGFRB,0,1,0,0
GAS7,0,1,0,0
KLRK1,0,1,0,0
JAZF1,0,1,0,0
TMCC3,0,1,0,0
SPON2,0,1,0,0
FAM49A,0,1,0,0
CACNA2D2,0,1,0,0
CD244,0,1,0,0
GAB3,0,1,0,0
MYO3B,0,1,0,0
PPM1L,0,1,0,0
KLRG1,0,1,0,0
ADGRG5,0,1,0,0
RAP2A,0,1,0,0
HOPX,0,1,0,0
PATL2,0,1,0,0
A2M-AS1,0,1,0,0
AGAP1,0,1,0,0
RASSF4,0,1,0,0
EFHD2,0,1,0,0
DTHD1,0,1,0,0
PIK3AP1,0,1,0,0
KIF19,0,1,0,0
PPP2R2B,0,1,0,0
FRMPD3,0,1,0,0
GZMA,0,1,0,0
MXRA7,0,1,0,0
MCTP2,0,1,0,0
NDUFA13,0,0,1,0
SUN2,0,0,1,0
CCDC22,0,0,1,0
ALDH3B1,0,0,1,0
AAMP,0,0,1,0
CUL9,0,0,1,0
NCKAP5L,0,0,1,0
LYPLA2,0,0,1,0
INSR,0,0,1,0
UBXN6,0,0,1,0
AC133644.2,0,0,1,0
PLXDC2,0,0,1,0
ATF6B,0,0,1,0
AKT2,0,0,1,0
SLC35C2,0,0,1,0
PKN1,0,0,1,0
GNB4,0,0,1,0
MCTP1,0,0,1,0
DGCR2,0,0,1,0
LRP10,0,0,1,0
FAM214B,0,0,1,1
VPS18,0,0,1,0
USP19,0,0,1,0
RBM42,0,0,1,0
CYB561D2,0,0,1,0
SETD1A,0,0,1,0
NCF2,0,0,1,0
ATP6V1A,0,0,1,0
REXO1,0,0,1,0
NDUFB11,0,0,1,0
TSC2,0,0,1,0
ARAP1,0,0,1,0
STK11IP,0,0,1,0
TWF2,0,0,1,0
FKBP11,0,0,1,0
NUMA1,0,0,1,0
CIC,0,0,1,0
KCTD17,0,0,1,0
NPEPL1,0,0,1,0
GAB2,0,0,1,0
PIEZO1,0,0,1,0
FLII,0,0,1,0
CORO1A,0,0,1,0
TNK2,0,0,1,0
VPS37C,0,0,1,0
NUP210,0,0,1,0
PQLC1,0,0,1,0
AP000766.1,0,0,1,0
PRKAR1A,0,0,0,1
DNAJC13,0,0,0,1
STXBP3,0,0,0,1
ERF,0,0,0,1
CCPG1,0,0,0,1
7-Mar,0,0,0,1
WNT2B,0,0,0,1
RP2,0,0,0,1
MEGF9,0,0,0,1
GRM4,0,0,0,1
PARP11,0,0,0,1
CHD6,0,0,0,1
CTSS,0,0,0,1
SRBD1,0,0,0,1
LARS,0,0,0,1
G6PC3,0,0,0,1
KDM7A,0,0,0,1
LBR,0,0,0,1
TMEM50A,0,0,0,1
AC012414.5,0,0,0,1
RRAGD,0,0,0,1
GALNT5,0,0,0,1
PRRC1,0,0,0,1
LRP2,0,0,0,1
7-Sep,0,0,0,1
ST6GAL2,0,0,0,1
ARPC5,0,0,0,1
