Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
STAT1,1,1,0,0
EIF2AK2,1,1,1,1
XAF1,1,1,1,1
EPSTI1,1,1,1,1
HERC6,1,1,1,1
IRF7,1,1,1,0
IFI6,1,1,1,1
MX1,1,1,1,1
PARP9,1,1,1,0
DDX60,1,1,1,1
HERC5,1,1,1,1
LAP3,1,0,0,1
OAS2,1,1,1,1
SAMD9L,1,1,1,0
OASL,1,1,1,1
ISG15,1,1,1,1
OAS1,1,1,0,1
IFITM1,1,0,1,0
LY6E,1,1,1,1
OAS3,1,1,1,1
USP18,1,1,1,1
DDX60L,1,1,0,0
PLSCR1,1,1,0,0
NRIR,1,0,0,0
IFI35,1,0,0,1
TYMP,1,1,0,0
LGALS3BP,1,1,1,0
ODF3B,1,1,0,0
FBXO6,1,0,0,0
TLR7,1,0,0,0
LAMP3,1,1,0,0
HELZ2,1,1,0,0
SLFN12L,1,0,0,0
IFIT2,1,1,1,1
GBP1,1,0,1,1
IFI27,1,1,1,0
MX2,1,0,1,0
AL136295.5,1,0,0,0
SPATS2L,1,1,1,1
AGRN,1,0,1,1
CCSER1,1,0,0,0
PGAP1,1,1,0,0
DHX58,1,0,0,1
GBP4,1,0,1,1
APOL6,1,0,0,0
CMPK2,1,1,1,1
IFI44,1,1,1,1
IFIT3,1,1,1,1
IFIT1,1,1,1,1
RSAD2,1,1,1,1
UBE2L6,1,0,0,0
LGALS9,0,1,0,0
HSH2D,0,1,0,0
IFIT5,0,1,0,1
IFI44L,0,0,1,1
SIGLEC1,0,0,1,1
SERPING1,0,0,1,1
IFITM3,0,0,1,0
OTOF,0,0,1,1
CXCL10,0,0,1,0
GMPR,0,0,1,0
GBP5,0,0,1,1
CCL2,0,0,1,0
KLHDC7B,0,0,1,0
PARP14,0,0,1,1
ZBP1,0,0,1,1
ETV7,0,0,1,0
APOBEC3A,0,0,1,0
NEXN,0,0,1,0
GBP1P1,0,0,1,0
SAMD4A,0,0,1,0
RTP4,0,0,0,1
MT2A,0,0,0,1
PARP12,0,0,0,1
TRIM22,0,0,0,1
ZCCHC2,0,0,0,1
MOV10,0,0,0,1
HES4,0,0,0,1
PNPT1,0,0,0,1
IFIH1,0,0,0,1
BST2,0,0,0,1
TMEM123,0,0,0,1
SLFN5,0,0,0,1
BATF2,0,0,0,1
